No. overall,No. in season,Title,Directed by,Written by,Original air date,U.S. viewers (millions),Season,US viewers (millions),Original air date [126]
1,1,"""Pilot""",Kevin Bray,Aaron Korsh,"June 23, 2011",4.64[3],1,,
2,2,"""Errors and Omissions""",John Scott,Sean Jablonski,"June 30, 2011",3.89[4],1,,
3,3,"""Inside Track""",Kevin Bray,Aaron Korsh,"July 7, 2011",4.53[5],1,,
4,4,"""Dirty Little Secrets""",Dennie Gordon,Jon Cowan,"July 14, 2011",4.38[6],1,,
5,5,"""Bail Out""",Kate Woods,Ethan Drogin,"July 21, 2011",4.38[7],1,,
6,6,"""Tricks of the Trade""",Terry McDonough,Rick Muirragui,"July 28, 2011",4.44[8],1,,
7,7,"""Play the Man""",Tim Matheson,Erica Lipez,"August 4, 2011",4.03[9],1,,
8,8,"""Identity Crisis""",Norberto Barba,Ethan Drogin,"August 11, 2011",3.96[10],1,,
9,9,"""Undefeated""",Felix Alcala,Rick Muirragui,"August 18, 2011",4.45[11],1,,
10,10,"""Shelf Life""",Jennifer Getzinger,Sean Jablonski,"August 25, 2011",3.82[12],1,,
11,11,"""Rules of the Game""",Mike Smith,Jon Cowan,"September 1, 2011",3.96[13],1,,
12,12,"""Dog Fight""",Kevin Bray,Aaron Korsh,"September 8, 2011",3.47[14],1,,
13,1,"""She Knows""",Michael Smith,Aaron Korsh,"June 14, 2012",3.47[15],2,,
14,2,"""The Choice""",Kevin Bray,Jon Cowan,"June 21, 2012",3.80[16],2,,
15,3,"""Meet the New Boss""",Michael Smith,Erica Lipez,"June 28, 2012",3.88[17],2,,
16,4,"""Discovery""",Kevin Bray,Daniel Arkin,"July 12, 2012",3.70[18],2,,
17,5,"""Break Point""",Christopher Misiano,Ethan Drogin,"July 19, 2012",3.72[19],2,,
18,6,"""All In""",John Scott,Karla Nappi,"July 26, 2012",3.89[20],2,,
19,7,"""Sucker Punch""",Adam Davidson,Genevieve Sparling,"August 2, 2012",3.41[21],2,,
20,8,"""Rewind""",Félix Alcalá,Rick Muirragui,"August 9, 2012",3.42[22],2,,
21,9,"""Asterisk""",Jennifer Getzinger,Justin Peacock,"August 16, 2012",4.00[23],2,,
22,10,"""High Noon""",Kevin Bray,Erica Lipez,"August 23, 2012",4.48[24],2,,
23,11,"""Blind-Sided""",David Platt,Ethan Drogin,"January 17, 2013",3.57[25],2,,
24,12,"""Blood in the Water""",Roger Kumble,Genevieve Sparling,"January 24, 2013",3.75[26],2,,
25,13,"""Zane vs. Zane""",Nicole Kassell,Rick Muirragui,"January 31, 2013",3.36[27],2,,
26,14,"""He's Back""",Kevin Bray,Daniel Arkin,"February 7, 2013",3.07[28],2,,
27,15,"""Normandy""",Terry McDonough,Jon Cowan,"February 14, 2013",2.90[29],2,,
28,16,"""War""",John Scott,Aaron Korsh,"February 21, 2013",3.20[30],2,,
29,1,"""The Arrangement""",Christopher Misiano,Aaron Korsh,"July 16, 2013",,3,2.93[31],
30,2,"""I Want You to Want Me""",Roger Kumble,Jon Cowan,"July 23, 2013",,3,2.88[32],
31,3,"""Unfinished Business""",Anton Cropper,Ethan Drogin,"July 30, 2013",,3,2.47[33],
32,4,"""Conflict of Interest""",Michael Smith,Daniel Arkin,"August 6, 2013",,3,2.99[34],
33,5,"""Shadow of a Doubt""",Félix Alcalá,Genevieve Sparling,"August 13, 2013",,3,2.79[35],
34,6,"""The Other Time""",John Scott,Rick Muirragui,"August 20, 2013",,3,2.76[36],
35,7,"""She's Mine""",Anton Cropper,Paul Redford,"August 27, 2013",,3,2.79[37],
36,8,"""Endgame""",Michael Smith,Justin Peacock,"September 3, 2013",,3,3.52[38],
37,9,"""Bad Faith""",Christopher Misiano,Ethan Drogin,"September 10, 2013",,3,2.95[39],
38,10,"""Stay""",Kevin Bray,Rick Muirragui,"September 17, 2013",,3,3.16[40],
39,11,"""Buried Secrets""",Cherie Nowlan,Erica Lipez,"March 6, 2014",,3,2.27[41],
40,12,"""Yesterday's Gone""",Anton Cropper,Genevieve Sparling,"March 13, 2014",,3,2.27[42],
41,13,"""Moot Point""",Kevin Bray,Daniel Arkin,"March 20, 2014",,3,2.35[43],
42,14,"""Heartburn""","James Whitmore, Jr.",Aaron Korsh & Erica Lipez,"March 27, 2014",,3,2.53[44],
43,15,"""Know When to Fold 'Em""",Anton Cropper,Jon Cowan,"April 3, 2014",,3,2.50[45],
44,16,"""No Way Out""",Michael Smith,Aaron Korsh & Daniel Arkin,"April 10, 2014",,3,2.40[46],
45,1,"""One-Two-Three Go...""",Anton Cropper,Aaron Korsh,"June 11, 2014",2.50[47],4,,
46,2,"""Breakfast, Lunch and Dinner""",Roger Kumble,Genevieve Sparling,"June 18, 2014",2.65[48],4,,
47,3,"""Two in the Knees""",Anton Cropper,Chris Downey,"June 25, 2014",2.76[49],4,,
48,4,"""Leveraged""",Kevin Bray,Nora Zuckerman & Lilla Zuckerman,"July 9, 2014",2.42[50],4,,
49,5,"""Pound of Flesh""",Christopher Misiano,Daniel Arkin,"July 16, 2014",2.33[51],4,,
50,6,"""Litt the Hell Up""",Silver Tree,Rick Muirragui,"July 23, 2014",2.70[52],4,,
